SMILES,SMILES_state,Scaffold,R-groups,NLL
*C(=O)OC(=O)c1ccccc1,0,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(=O)OC(=O)c1ccccc1,10.27
*c1c(C)noc1C,0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,*c1c(C)noc1C,6.17
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,*C(C)(C)O,0.04
*C1(O)CC1,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,*C1(O)CC1,5.87
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,*C(C)(C)O,0.06
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,*C(C)(C)O,0.08
*C[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,*C[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1,14.79
*C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*C,1.37
*CC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,*CC,2.23
*N1CCN2c3cc(ccc3C=C(C(N)=O)c3cnccc32)C1,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,*N1CCN2c3cc(ccc3C=C(C(N)=O)c3cnccc32)C1,29.09
*CC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CC,2.04
*OCCC,0,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,*OCCC,6.84
*C(=O)C(F)(F)F,0,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(=O)C(F)(F)F,1.42
*c1ccccc1,0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,*c1ccccc1,1.67
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,*C(C)(C)O,0.04
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,*C(C)(C)O,0.06
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,*C(C)(C)O,0.08
*CCCO,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,*CCCO,6.19
*C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*C,1.37
*C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,*C,1.56
*CCC1CC(n2ccc3c(N)ncnc32)C1,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,*CCC1CC(n2ccc3c(N)ncnc32)C1,14.06
*CC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CC,2.04
*Oc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,*Oc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,2.59
*CCC,0,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*CCC,5.16
*c1ccc(Cl)cc1,0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,*c1ccc(Cl)cc1,5.26
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,*C(C)(C)O,0.04
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,*C(C)(C)O,0.06
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,*C(C)(C)O,0.08
*CCNC(=O)O,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,*CCNC(=O)O,7.91
*CC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CC,1.99
*CCCCC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,*CCCCC,3.46
*C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,*C,1.61
*CCCS(=O)(=O)c1ccc(C)cc1,0,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CCCS(=O)(=O)c1ccc(C)cc1,11.82
*CC(=O)O,0,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,*CC(=O)O,4.96
*C(=O)C(F)(F)F,0,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(=O)C(F)(F)F,1.42
*c1ccccc1,0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,*c1ccccc1,1.67
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,*C(C)(C)O,0.04
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,*C(C)(C)O,0.09
*C(O)(Cn1cncn1)c1ccc(F)cc1F,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,*C(O)(Cn1cncn1)c1ccc(F)cc1F,5.12
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,*C(C)(C)O,0.08
*C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,*C,1.8
*C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*C,1.37
*C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,*C,1.56
*C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,*C,1.61
*CCCCCC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CCCCCC,3.62
*NC,0,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,*NC,5.28
*C=O,0,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C=O,2.17
*C,0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,*C,1.57
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,*C(C)(C)O,0.04
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,*C(C)(C)O,0.06
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(C)(C)O,0.09
*C(O)(c1ccccc1)c1ccccc1,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,*C(O)(c1ccccc1)c1ccccc1,7.02
*CCC(=O)NCCCCCC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,*CCC(=O)NCCCCCC,13.73
*CCCCCCCCCCC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CCCCCCCCCCC,8.56
*N1CCC(c2ccc3c(c2)n(C)c(=O)n3C2CCC(=O)NC2=O)CC1,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,*N1CCC(c2ccc3c(c2)n(C)c(=O)n3C2CCC(=O)NC2=O)CC1,5.85
*CCC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,*CCC,2.93
*c1ccc2c(c1)n(C)c(=O)n2C1CCC(=O)NC1=O,0,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*c1ccc2c(c1)n(C)c(=O)n2C1CCC(=O)NC1=O,6.27
*Oc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,*Oc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,3.87
*C(=O)O,0,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(=O)O,3.48
*C,0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,*C,1.57
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,*C(C)(C)O,0.04
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,*C(C)(C)O,0.06
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,*C(C)(C)O,0.08
*CCNC[C@@H](O)c1ccc(O)c2[nH]c(=O)ccc12,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,*CCNC[C@@H](O)c1ccc(O)c2[nH]c(=O)ccc12,8.17
*CCCCC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CCCCC,2.97
*CCCC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,*CCCC,3.13
*NC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,*NC,5.35
*C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*C,1.4
*C,0,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,*C,2.87
*CC,0,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*CC,1.08
*c1ccncc1,0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,*c1ccncc1,3.95
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,*C(C)(C)O,0.04
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,*C(C)(C)O,0.06
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(C)(C)O,0.09
*C(O)(c1ccccc1)c1ccccc1,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,*C(O)(c1ccccc1)c1ccccc1,7.02
*C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,*C,1.8
*CCO,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CCO,5.92
*CCNC(=O)OC(C)(C)C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,*CCNC(=O)OC(C)(C)C,5.35
*CCNC1CCN(c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,*CCNC1CCN(c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1,10.27
*CCCCCC(C)=O,0,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CCCCCC(C)=O,8.79
*N1CC(COc2ccc(C3CCC(=O)NC3=O)cc2OC)C1,0,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,*N1CC(COc2ccc(C3CCC(=O)NC3=O)cc2OC)C1,19.47
*Cc1ccc(OC)cc1,0,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*Cc1ccc(OC)cc1,6.46
*C(C)C,0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,*C(C)C,3.57
*C(O)(Cn1cncn1)c1ccc(F)cc1F,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,*C(O)(Cn1cncn1)c1ccc(F)cc1F,5.87
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,*C(C)(C)O,0.06
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(C)(C)O,0.09
*C(O)(Cn1cncn1)c1ccc(F)cc1F,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,*C(O)(Cn1cncn1)c1ccc(F)cc1F,4.21
*Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,*Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,3.51
*CC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CC,1.99
*C(C)CC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,*C(C)CC,7.95
*C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,*C,1.61
*CCS(=O)(=O)C=C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CCS(=O)(=O)C=C,11.78
*CC,0,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,*CC,3.56
*C(=O)C(F)(F)F,0,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(=O)C(F)(F)F,1.42
*c1ccccc1,0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,*c1ccccc1,1.67
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,*C(C)(C)O,0.04
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,*C(C)(C)O,0.06
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,*C(C)(C)O,0.08
*CCCC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,*CCCC,3.49
*CCC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CCC,2.36
*CCCC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,*CCCC,3.13
*c1ccc2c(c1)n(C)c(=O)n2C1CCC(=O)NC1=O,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,*c1ccc2c(c1)n(C)c(=O)n2C1CCC(=O)NC1=O,5.56
