canonical_smiles,murcko_scaffold,novel_scaffold,pred_log10_ic50_uM,pred_ic50_uM,max_sim_to_seriesCE,has_spiro_motif,drug_like,mw,logp,hbd,hba,rot_bonds,tpsa,source_mode
CCCCC#Cc1cncc(N2CCC3(CCN(C(=O)C(CC4CCCCC4)NC(=O)C4Cc5ccccc5CN4)CC3)C2)c1,O=C(NC(CC1CCCCC1)C(=O)N1CCC2(CC1)CCN(c1cccnc1)C2)C1Cc2ccccc2CN1,1,1.1243,13.3136,0.4393,0,0,609.86,5.61,2,5,8,77.57,scaffold_hopping
Cc1ccc(C(=O)N2CC3(C2)CN(c2cccc(C(F)(F)F)n2)C3)cc1,O=C(c1ccccc1)N1CC2(C1)CN(c1ccccn1)C2,1,1.138,13.7416,0.3906,0,1,361.37,3.37,0,3,2,36.44,scaffold_hopping
CCCCCCC#Cc1cncc(N2CC3CCC2CN3C)c1,c1cncc(N2CC3CCC2CN3)c1,1,1.1855,15.3275,0.4324,0,1,311.47,3.69,0,3,5,19.37,scaffold_hopping
CC(C)N1CCCN(C(=O)N2CC3(CCN(c4ccccn4)C3)C2)C1=O,O=C1NCCCN1C(=O)N1CC2(CCN(c3ccccn3)C2)C1,1,1.2001,15.853,0.3714,0,1,357.46,2.25,0,4,2,59.99,similarity
CCCCCCC#Cc1cncc(OC2(C)CCN(Cc3ccccc3C)C2)c1,c1ccc(CN2CCC(Oc3cccnc3)C2)cc1,1,1.216,16.4427,0.4167,0,0,390.57,5.76,0,3,8,25.36,similarity
COc1ccc(C(=O)N2CC3(CCN(c4cccc(N5CCOCC5)n4)CC3)C2)cc1,O=C(c1ccccc1)N1CC2(CCN(c3cccc(N4CCOCC4)n3)CC2)C1,1,1.2388,17.3295,0.4091,0,1,422.53,2.67,0,6,4,58.14,scaffold_hopping
CCCC#Cc1cncc(N2CCC3(CCN(C(=O)COC)CC3=O)C2)c1,O=C1CNCCC12CCN(c1cccnc1)C2,1,1.254,17.947,0.4512,0,1,369.47,1.88,0,5,4,62.74,similarity
CCCCCCCN(Cc1ccccc1)C(=O)CCCc1c[nH]c2ccccc12,O=C(CCCc1c[nH]c2ccccc12)NCc1ccccc1,1,1.2543,17.9598,0.3523,0,0,390.57,6.49,1,1,12,36.1,scaffold_hopping
CC#Cc1cc(-c2cncc(C#Cc3ccccc3)c2)cc(N2CCN(C)CC2)c1,C(#Cc1cncc(-c2cccc(N3CCNCC3)c2)c1)c1ccccc1,1,1.3029,20.0857,0.4167,0,1,391.52,4.27,0,3,2,19.37,similarity
CC(C)(C)OC(=O)CN1CC2(CCN(c3ccc4c(c3)-c3c(cnn3-c3ccc(F)cc3)CC4)C2)C1,c1ccc(-n2ncc3c2-c2cc(N4CCC5(CNC5)C4)ccc2CC3)cc1,1,1.3071,20.2816,0.4615,0,1,488.61,4.63,0,5,4,50.6,scaffold_hopping
Cc1cc(C)c(CNC(=O)c2cnn(-c3ccc(F)cc3)c2C2CCN(C(=O)OC(C)(C)C)CC2)c(=O)[nH]1,O=C(NCc1ccc[nH]c1=O)c1cnn(-c2ccccc2)c1C1CCNCC1,1,1.3694,23.4106,0.3523,0,0,523.61,4.36,2,5,5,109.32,similarity
CN(C)c1nc(N2CC3(CCN(c4cncc(-c5ccccc5)c4)C3)C2)cc(C(F)(F)F)n1,c1ccc(-c2cncc(N3CCC4(C3)CN(c3ccncn3)C4)c2)cc1,1,1.3957,24.8735,0.4384,1,1,454.5,4.34,0,6,4,48.39,scaffold_hopping
CC(C)(C)OC(=O)N1CC2(CCN(c3cnc(-c4ccc(F)cc4)c(-c4ccc(Cl)cc4Cl)n3)C2)C1,c1ccc(-c2ncc(N3CCC4(CNC4)C3)nc2-c2ccccc2)cc1,1,1.428,26.7915,0.5616,0,0,529.44,6.7,0,5,3,58.56,similarity
CC(C)(C)OC(=O)N1CC2(CCN(C(=O)C3CCCN(C(=N)N)C3)C2)C1,O=C(C1CCCNC1)N1CCC2(CNC2)C1,1,1.4418,27.6581,0.4,0,1,365.48,1.06,2,4,1,102.96,similarity
Cc1ccn2c(-c3cc(N4CCC5(CN(C(=O)OC(C)(C)C)C5)C4)c(=Nc4ccc(Cl)nc4)[nH]n3)c(C)nc2c1,c1cncc(N=c2[nH]nc(-c3cnc4ccccn34)cc2N2CCC3(CNC3)C2)c1,1,1.6143,41.1476,0.383,0,0,561.09,5.07,1,7,3,104.01,similarity
Cc1cnc2c(-n3cnc(-c4cnn(C)c4)c3)cccc2c1-c1cncc(N2CCC3(CNC3)C2)c1,c1cc(-n2cnc(-c3cn[nH]c3)c2)c2nccc(-c3cncc(N4CCC5(CNC5)C4)c3)c2c1,1,1.625,42.1688,0.3846,1,1,476.59,3.99,1,6,4,76.69,scaffold_hopping
CN1CCN(c2ccc3c(c2)OCN(C(=O)CCCc2c[nH]c4ccccc24)C3)CC1,O=C(CCCc1c[nH]c2ccccc12)N1COc2cc(N3CCNCC3)ccc2C1,1,1.628,42.4587,0.3723,0,1,418.54,3.62,1,4,5,51.81,scaffold_hopping
COC(=O)N1CC2(CCN(C(=O)c3cnccn3)C2)C1,O=C(c1cnccn1)N1CCC2(CNC2)C1,1,1.6681,46.5672,0.371,0,1,276.3,0.39,0,5,1,75.63,similarity
CC(=O)N(C(=O)OC(C)(C)C)N1CCN(c2ccc(F)cc2)CC1,c1ccc(N2CCNCC2)cc1,1,1.7643,58.1199,0.3692,0,1,337.4,2.65,0,5,2,53.09,scaffold_hopping
