SMILES,SMILES_state,Masked_input_peptide,Fillers,NLL
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,11.14
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,25.99
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,10.03
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,10.27
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,9.08
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,9.99
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,10.22
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,9.59
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,17.22
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,12.36
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,19.24
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,17.43
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,10.05
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,6.05
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,9.79
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,10.43
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,9.27
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,13.96
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,9.81
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,15.44
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,10.16
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,11.23
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,10.35
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,11.02
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,11.42
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,22.04
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,9.7
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,11.82
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,10.67
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,7.42
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,12.11
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,9.19
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,12.27
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,24.1
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,12.01
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,10.87
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,9.26
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,8.89
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,8.96
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,9.99
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,9.42
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,14.78
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,9.47
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,19.27
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,15.15
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,6.78
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,9.77
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,9.55
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,9.93
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,19.38
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,9.14
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,10.54
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,10.32
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,6.05
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,9.0
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,10.06
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,10.05
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,20.82
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,10.93
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,12.13
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,10.42
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,10.22
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,21.39
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,13.9
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,11.52
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,9.88
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,8.22
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,12.36
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,9.01
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,10.02
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,20.92
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,16.4
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,10.75
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,28.27
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,10.11
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,10.29
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,9.7
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,8.99
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,9.93
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,10.29
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,10.76
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,12.01
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,6.01
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,16.28
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,9.85
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,9.95
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,21.73
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,20.32
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,13.74
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,22.57
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,9.88
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,18.04
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,9.14
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,10.17
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,9.34
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,9.82
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,10.2
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,10.46
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,10.26
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,21.56
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,9.56
