rank,canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal,pred_pIC50_uncertainty,source_file,source_family,source_mode,Input_SMILES,Tanimoto,clogp_score_individual,solubility_score_individual,microsome_stability_score,hepatocyte_stability_score,half_life_stability_score,metabolic_stability_ensemble_score,qikprop_star_count,qikprop_clogp,qikprop_logS,qikprop_metab_sites,qikprop_human_oral_absorption_class,qikprop_percent_human_oral_absorption,qikprop_caco2,qikprop_status,clogp_score_qikprop,solubility_score_qikprop,clogp_ensemble_value,solubility_ensemble_value,clogp_ensemble_score,solubility_ensemble_score,clogp_uncertainty,solubility_uncertainty,metstab_uncertainty,adme_ensemble_uncertainty,adme_individual_score,adme_ensemble_score,passes_metabolic_stability,passes_adme_individual,passes_adme_ensemble,triage_score,murcko_scaffold,scaffold_bucket
11,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4cn[nH]c4)c3)C2)C1,1,9.2,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.3734,-4.823644186432861,1.5009140172743363e-05,Moderately Soluble,24.21737,10.988835,53.15987,1,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.7787610619469026,0.9012799999999999,0.7940889533917848,0.8270187857142857,0.93131978125,0.664498375,0.8338911828258392,,,,,,,,not_run,0.0,1.0,2.3734,-6.278101093216431,0.45063999999999993,0.715237363347946,0.45063999999999993,0.38366314933917717,0.19024516592708815,0.341516105088755,0.8475267114782818,0.6700898139673221,1,1,0,0.8771677956720404,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cn[nH]c4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cn[nH]c4)c3)C2)C1
12,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4c[nH]cn4)c3)C2)C1,1,9.86,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.3734,-4.823644186432861,1.5009140172743363e-05,Moderately Soluble,23.10831,10.707014,50.75359,1,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.7478260869565218,0.9012799999999999,0.7940889533917848,0.8349406428571429,0.9330811625,0.6344198750000001,0.8320845801695892,,,,,,,,not_run,0.0,1.0,2.3734,-6.278101093216431,0.45063999999999993,0.715237363347946,0.45063999999999993,0.38366314933917717,0.19026604103692937,0.34152306345870215,0.8468040704157818,0.6693671729048222,1,1,0,0.8766980789814153,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4c[nH]cn4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4c[nH]cn4)c3)C2)C1
13,Cn1nccc1C#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,9.87,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.383800000000001,-4.918379586724503,1.2067586299028102e-05,Moderately Soluble,28.109217,10.170671,54.852386,1,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.75,0.8929599999999993,0.7704051033188744,0.7992198785714286,0.93643330625,0.6856548250000001,0.8319892896971938,,,,,,,,not_run,0.0,1.0,2.383800000000001,-6.428780793362254,0.44647999999999965,0.6964024008297184,0.44647999999999965,0.4043049543705941,0.19302344202217353,0.34793613213092245,0.8379329917085958,0.663164316086307,1,1,0,0.8709318778217444,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4ccn[nH]4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4ccn[nH]4)c3)C2)C1
14,Cn1ccc(C#Cc2cncc(N3CCC4(CN(C(=O)c5cc([N+](=O)[O-])cc([N+](=O)[O-])c5)C4)C3)c2)n1,1,9.92,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.383800000000001,-4.918379586724503,1.2067586299028102e-05,Moderately Soluble,28.09635,10.268901,53.582478,1,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.75,0.8929599999999993,0.7704051033188744,0.7993117857142857,0.93581936875,0.669780975,0.8305623243846937,,,,,,,,not_run,0.0,1.0,2.383800000000001,-6.428780793362254,0.44647999999999965,0.6964024008297184,0.44647999999999965,0.4043049543705941,0.19303891692008465,0.34794129043022615,0.8373622055835959,0.662593529961307,1,1,0,0.8705608668404945,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cc[nH]n4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cc[nH]n4)c3)C2)C1
15,Cn1ccnc1C#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,9.8,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.3838,-4.918379586724503,1.2067586299028102e-05,Moderately Soluble,31.63329,10.600968,52.22533,1,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.7350427350427351,0.8929600000000001,0.7704051033188744,0.7740479285714286,0.93374395,0.652816625,0.8267116998534437,,,,,,,,not_run,0.0,1.0,2.3838,-6.428780793362254,0.44648000000000004,0.6964024008297184,0.44648000000000004,0.4043049543705941,0.19309053636404738,0.3479584969115472,0.8358219557710961,0.6610532801488072,1,1,0,0.8695597044623696,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4ncc[nH]4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4ncc[nH]4)c3)C2)C1
16,Cn1cc(C#Cc2cncc(N3CCC4(CN(C(=O)c5cc([N+](=O)[O-])cc([N+](=O)[O-])c5)C4)C3)c2)cn1,1,10.01,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.383800000000001,-4.918379586724503,1.2067586299028102e-05,Moderately Soluble,30.577307,11.526679,49.991356,1,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.7652173913043478,0.8929599999999993,0.7704051033188744,0.7815906642857142,0.92795825625,0.6248919500000001,0.8244943531346937,,,,,,,,not_run,0.0,1.0,2.383800000000001,-6.428780793362254,0.44647999999999965,0.6964024008297184,0.44647999999999965,0.4043049543705941,0.19312678619040682,0.34797058018700017,0.8349350170835959,0.660166341461307,1,1,0,0.8689831943154944,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cn[nH]c4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cn[nH]c4)c3)C2)C1
17,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccc[n+]([O-])c4)c3)C2)C1,1,9.87,0.0546908586042905,1.134203174797531,5.945309141395709,2.2837000000000005,-4.936165576614346,1.1583356515765303e-05,Moderately Soluble,27.896603,11.307947,33.30883,0,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.8230088495575221,0.9730399999999996,0.7659586058464134,0.8007385499999999,0.92932533125,0.416360375,0.8128084860735707,,,,,,,,not_run,0.0,1.0,2.2837000000000005,-6.474436288307175,0.4865199999999998,0.6914896514616033,0.4865199999999998,0.41050603940631086,0.18581565704398872,0.3609472321500998,0.8571770458910315,0.668277807294829,0,0,0,0.8661871386130084,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4ccc[nH+]c4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4ccc[nH+]c4)c3)C2)C1
18,C#Cc1cncc(N2CC3(CCN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,9.76,0.2882706748059049,1.9420959151972947,5.711729325194095,2.2318,-4.245154507444304,5.6865058800153845e-05,Moderately Soluble,33.632736,17.31167,21.00474,0,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.6880733944954128,0.9854399999999999,0.938711373138924,0.7597661714285715,0.8918020625,0.26255925,0.8041841977194462,,,,,,,,not_run,0.0,1.0,2.2318,-5.596558253722153,0.49271999999999994,0.8004302182847307,0.49271999999999994,0.3112872073251833,0.1688026225902958,0.3242699433051596,0.9012555223725094,0.6942332336589612,0,0,0,0.8629801608492915,O=C(c1ccccc1)N1CCC2(C1)CN(c1cccnc1)C2,O=C(c1ccccc1)N1CCC2(C1)CN(c1cccnc1)C2
19,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccncn4)c3)C2)C1,1,8.88,-0.1077625620708957,0.7802565766176098,6.107762562070896,2.4403000000000006,-4.958790806783569,1.0995353417764655e-05,Moderately Soluble,25.37544,9.920959,51.996178,1,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.7586206896551724,0.8477599999999995,0.7603022983041077,0.8187468571428571,0.9379940062500001,0.649952225,0.8273608350714554,,,,,,,,not_run,0.0,1.0,2.4403000000000006,-6.440487903391787,0.42387999999999976,0.6949390120760267,0.42387999999999976,0.4020811830883022,0.1984619601195229,0.341474381069275,0.817735908604609,0.6530370870475888,1,1,0,0.862707446700419,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4ccncn4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4ccncn4)c3)C2)C1
20,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4cncnc4)c3)C2)C1,1,8.18,-0.1077625620708957,0.7802565766176098,6.107762562070896,2.4403000000000006,-4.958790806783569,1.0995353417764655e-05,Moderately Soluble,23.456493,7.1529694,35.6727,0,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.7739130434782608,0.8477599999999995,0.7603022983041077,0.8324536214285715,0.95529394125,0.44590874999999996,0.8120038680089554,,,,,,,,not_run,0.0,1.0,2.4403000000000006,-6.440487903391787,0.42387999999999976,0.6949390120760267,0.42387999999999976,0.4020811830883022,0.19872755047647503,0.341562911188259,0.8115931217796089,0.6468943002225888,0,0,0,0.8587146352641689,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cncnc4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cncnc4)c3)C2)C1
21,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ncccn4)c3)C2)C1,1,8.8,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.4403000000000006,-4.958790806783569,1.0995353417764655e-05,Moderately Soluble,28.28857,12.648546,48.72094,1,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.7586206896551724,0.8477599999999995,0.7603022983041077,0.7979387857142857,0.9209465875,0.60901175,0.8206792808527053,,,,,,,,not_run,0.0,1.0,2.4403000000000006,-6.440487903391787,0.42387999999999976,0.6949390120760267,0.42387999999999976,0.4020811830883022,0.1985501898794161,0.3415037909892394,0.8150632869171088,0.6503644653600886,1,1,0,0.8560665697072779,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4ncccn4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4ncccn4)c3)C2)C1
22,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4cccnn4)c3)C2)C1,1,9.87,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.4403000000000006,-4.958790806783569,1.0995353417764655e-05,Moderately Soluble,24.067484,8.292989,44.24364,1,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.7739130434782608,0.8477599999999995,0.7603022983041077,0.8280894,0.9481688187499999,0.5530455,0.8204620800714553,,,,,,,,not_run,0.0,1.0,2.4403000000000006,-6.440487903391787,0.42387999999999976,0.6949390120760267,0.42387999999999976,0.4020811830883022,0.1985537648517767,0.34150498264669293,0.8149764066046088,0.6502775850475887,1,1,0,0.8560100975041529,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cccnn4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cccnn4)c3)C2)C1
23,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4cccnc4)n3)C2)C1,1,9.98,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.4403000000000006,-4.958790806783569,1.0995353417764655e-05,Moderately Soluble,27.272045,11.200174,47.20216,1,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.6859504132231405,0.8477599999999995,0.7603022983041077,0.8051996785714286,0.9299989125,0.590027,0.8203323677277055,,,,,,,,not_run,0.0,1.0,2.4403000000000006,-6.440487903391787,0.42387999999999976,0.6949390120760267,0.42387999999999976,0.4020811830883022,0.19855592104183592,0.34150570137671266,0.8149245216671089,0.6502257001100888,1,1,0,0.855976372294778,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cccnc4)n3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cccnc4)n3)C2)C1
